amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y
100016,-2.1402903486672065,1.2445994939421334,
100025,3.5610696428827415,3.769015761043071,
100033,50.75653358780363,31.07480621658334,
101206,45.72999736945471,27.761344941742028,
101207,-23.186163162130335,-4.002093178088584,
101208,6.951057052080989,6.0755167621195705,
102885,19.366222647686236,18.876151419397846,
102886,-16.211444869700763,-0.7391613158953203,
102887,13.032318413527744,24.504995437428235,
118632,32.493443741776076,21.73066181637049,
118633,24.45482809992243,20.23695135100587,
118634,15.16417833418604,7.700989417149118,
118635,21.54833456704246,19.202314412666045,
118636,10.036522012510929,3.909241240919248,
119092,1.5472292800278176,0.506410336429286,
119093,18.945029829943792,19.975681528557022,
119094,21.326750293349406,33.61804922735321,
119095,-41.56498736081507,-11.298787971621705,
119120,5.305739305375479,5.6186515164248885,
119551,57.56848841923501,29.18145991652894,
119552,5.482448166686016,15.621784755976687,
119598,78.61683425540309,25.568431449174977,
119599,13.381345873925277,-1.2882996299400817,
120503,8.152215287087339,13.428793488877178,
120504,12.5356431533042,31.11766658791899,
120505,28.328204567572858,30.441001673525058,
120506,39.94041933796997,17.6845877347511,
120507,7.131782819276045,7.111635011762973,
120841,16.145220634042047,16.57924982681238,
120842,21.556668146960554,7.459051034615816,
120843,25.519824058631492,28.348105787785727,
120844,6.839470223790256,6.440807204457721,
125497,27.44305456632288,17.69654338000204,
125498,14.812657529198159,10.808126685493423,
148567,19.51232472805533,32.5598690010058,
148568,13.689107965575475,14.166348167302957,
148569,37.977827454267185,27.96284072275892,
149322,17.363137855877998,17.322998505102905,
149323,20.582313615268856,25.759428151387297,
149324,62.00710718376754,25.883943330562165,
