amfi_code,tracking_error
100016,0.1964164401240317
100025,0.13644549287362776
100033,0.22975510985452868
101206,0.19146863819697815
101207,0.29169994395318766
101208,0.1286014986164881
102885,0.18192565502251373
102886,0.22688898293158363
102887,0.2001521479229635
118632,0.18806323287107518
118633,0.1889792452699149
118634,0.282785826336104
118635,0.18403823855443657
118636,0.1357435518460494
119092,0.19148904585183738
119093,0.1907589437287637
119094,0.23707109073709529
119095,0.28098017915192985
119120,0.13316665157240587
119551,0.19311962181514367
119552,0.19142791209304308
119598,0.2780329305694821
119599,0.28027340421902597
120503,0.189659019307716
120504,0.191375815495827
120505,0.23312357538323944
120506,0.1953810190006645
120507,0.12891203253670386
120841,0.18249385340835608
120842,0.22035718560613873
120843,0.20514776699717427
120844,0.1287847168055114
125497,0.19558883044029274
125498,0.2255013095313276
148567,0.19399579209820497
148568,0.2008999880482113
148569,0.21938892755969006
149322,0.19148965318620714
149323,0.218938532840631
149324,0.27178877210936275
